#gen	Feasible	f1	f2	c1	c2	c3	c4	c5	x1	x2	x3	x4
49	1	2.665451644	2.085224566	8.810372817	0	0.2243626489	0.8252793582	124368.0427	80	108.8103728	3000	11.89016224
49	1	2.757158554	2.074994807	9.66701506	0	0.2302045903	0.8302580835	124985.6163	80	109.6670151	3000	11.32453388
49	1	2.792932697	2.071047475	9.999375664	0	0.2323794674	0.8321128981	125225.5491	80	109.9993757	3000	11.87951488
49	1	2.716901398	2.079465653	9.291796262	0	0.22768868	0.8281133179	124714.9625	80	109.2917963	3000	11.27446564
49	1	1.975574698	2.167739787	2.136110648	0	0.1630295292	0.7732395799	119599.7028	80	102.1361106	3000	11.3897186
49	1	2.757229762	2.074986926	9.667677615	0	0.2302089754	0.8302618225	124986.0944	80	109.6676776	3000	11.30879939
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.21798584
49	1	2.792997474	2.071040349	9.999976567	0	0.2323833549	0.8321162142	125225.9831	80	109.9999766	3000	11.96733324
49	1	2.691279416	2.082327232	9.052313001	0	0.226048212	0.8267153519	124542.3397	80	109.052313	3000	11.3935996
49	1	2.792983298	2.071041908	9.999845062	0	0.2323825042	0.8321154885	125225.8881	80	109.9998451	3000	11.77229588
49	1	2.791486092	2.071206629	9.985955426	0	0.232292603	0.8320388029	125215.8575	80	109.9859554	3000	11.43980957
49	1	1.92072049	2.174760727	1.586602146	0	0.1562618462	0.7675164622	119210.6847	80	101.5866021	3000	11.87951488
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.15334496
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.95775953
49	0	3.071892939	1.898490715	9.996567151	-2.5	0.2323612954	0.8320973973	136689.2955	80	109.9965672	3000	12.8167502
49	1	2.773899894	2.073144574	9.822676126	0	0.2312293579	0.8311319518	125097.9662	80	109.8226761	3000	11.8844556
49	1	2.589914536	2.290024442	11.09305691	2.5	0.2373160296	0.837902058	113165.1581	78.89291655	109.9859735	3000	10.5984262
49	1	2.715952706	2.079571383	9.282938394	0	0.227628491	0.8280620195	124708.5759	80	109.2829384	3000	11.76855681
49	1	2.791714747	2.07118147	9.988076789	0	0.2323063391	0.8320505197	125217.3894	80	109.9880768	3000	11.16079977
49	1	2.755012873	2.075232326	9.64704853	0	0.2300723489	0.8301453265	124971.2081	80	109.6470485	3000	11.87885767
49	1	2.790051827	2.071364464	9.972648056	0	0.2322063907	0.8319652651	125206.2476	80	109.9726481	3000	11.1389015
49	1	2.793	2.071040071	10	0	0.2323835065	0.8321163435	125226	80	110	3000	11.8718517
49	1	2.792951332	2.071045425	9.999548534	0	0.2323805858	0.8321138521	125225.674	80	109.9995485	3000	11.77856674
49	1	2.791528938	2.071201914	9.986352943	0	0.2322951771	0.8320409986	125216.1445	80	109.9863529	3000	11.95174501
49	1	2.763261794	2.074319674	9.723788593	0	0.2305796189	0.8305778696	125026.5885	80	109.7237886	3000	11.87951488
49	1	2.585533141	2.094272037	8.058309474	0	0.2189337205	0.8206569075	123826.8718	80	108.0583095	3000	11.79460257
49	0	3.0723	1.898453398	10	-2.5	0.2323835065	0.8321163435	136692	80	110	3000	12.19427497
49	1	2.505383892	2.279263054	9.914251181	2.5	0.231827138	0.8316417821	113703.7091	80	109.9142512	3000	10.46743809
49	1	1.968667402	2.168619857	2.067078807	0	0.1621980911	0.7725363118	119550.8015	80	102.0670788	3000	11.3935996
